Active_Cases,Country,Last_Update,New_Cases,New_Deaths,Total_Cases,Total_Deaths,Total_Recovered
25990679.0,DPRK,,74.0,183636.0,4772813.0,4772739.0,3.0
70078203.0,Thailand,,34586.0,68069.0,4770149.0,4692636.0,494.0
10736784.0,Czechia,,43517.0,443246.0,4759041.0,4715206.0,4053.0
33684208.0,Peru,,222161.0,135751.0,4572667.0,4350506.0,6595.0
8773637.0,Switzerland,,14452.0,507549.0,4453053.0,4438309.0,1647.0
112508994.0,Philippines,2025-03-24 03:49:00,66864.0,36800.0,4140383.0,4067381.0,594.0
60756135.0,South Africa,2025-03-24 03:49:00,102595.0,67095.0,4076463.0,3912506.0,1689.0
19031335.0,Romania,2025-03-23 17:47:00,68929.0,185470.0,3529735.0,3460149.0,3622.0
5834950.0,Denmark,2025-03-23 19:47:00,8814.0,545636.0,3183756.0,3174942.0,1511.0
5943546.0,Singapore,2025-03-23 19:47:00,2024.0,505785.0,3006155.0,3004131.0,341.0
7604299.0,Hong Kong,2025-03-23 11:46:00,14924.0,386309.0,2937609.0,2916005.0,1963.0
10218971.0,Sweden,2025-03-24 04:50:00,27407.0,269511.0,2754129.0,2726492.0,2682.0
4898203.0,New Zealand,,5697.0,535117.0,2621111.0,2613791.0,1163.0
8653016.0,Serbia,2025-03-23 19:47:00,18057.0,302213.0,2615054.0,2596608.0,2087.0
42164965.0,Iraq,2025-03-23 08:45:00,25375.0,58474.0,2465545.0,2439497.0,602.0
